"","lyrics"
"101","young drive mother wild maiden woods say child look deep green eye autumn hair girl fair remember remember eye green grassy pool lookin right hair grow leave like autumn tree move tiny hand litle turn sway wind like graceful swear vanish grow girl like lose memory girl remember remember remember rest life wish time look wild beauty lookin wife bachelor hood rest life remember remember remember rest life remember rest life"
"102","kill want hypochondriun kinda take blood beach want hypochondriun kill kinda take blood beach normal yesterday night creep arrive morning blood hand body strew sand beach dead ready wave crash head want hypochondriun kill kinda take blood beach"
"103","blue blue tear eye tellin blue plan fell time lonely go blue blue blue tear eye tellin blue plan fell time lonely go blue"
"104","tropic isle maiden smile fail past say true whisper destiny hopelessly wander long say pleadingly fancyfree say pleadingly motion moonlight soft face hold close arm heart quick charm glance even romance destiny hopelessly wander long say pleadingly fancyfree say pleadingly say pleadingly"
"105","angeliqueo angeliqueo mama angeliqueo angeliqueo teach things lack angeliqueo angeliqueo mama angeliqueo angeliqueo teach things lack time sweep dirt mama time shirt mama time peel mama think appeal mama mama teach things lack send live angeliqueo angeliqueo mama angeliqueo angeliqueo teach things lack angeliqueo angeliqueo mama angeliqueo angeliqueo teach things lack learn mama biscuits lord hardly chew mama pant wear hole mama runnin mink steal mama mama teach things lack send live angeliqueo angeliqueo mama angeliqueo angeliqueo teach things lack angeliqueo angeliqueo mama angeliqueo angeliqueo teach things lack"
"106","true true true true guardian high forever true guardian high forever true forever true"
"107","learn taste bitter go past forget light things look dirty funny come pass good slip away remember good shame shouldn couldn step open shame shame shame lose better leave second step forget tell situate like fool remember good shame shouldn couldn step open shame shame shame shame shouldn couldn step open shame shame shame think trouble think wind blow floor tell funny certain light look life remember stand"
"108","warm lips lips warm finger tip give hand warm close hold tenderly felt burn life walk cold till warm arm have hold know warm warm close hold tenderly felt burn life walk cold till warm arm have hold know warm"
"109","know fall long hopin work best morning wake go goodbye wonderin go wrong cry bring gettin tire rain time bring bring days aonce special girl cloud disappear take grant come tear come tear bring gettin tire rain time bring bring days bring gettin tire rain time bring bring days bring bring bring gettin tire rain time bring bring days"
"110","break heart hard cause wooden heart goodbye know maybe cause wooden heart string start treat nice treat good treat like cause wooden heart muss denn muss denn stadtele hinaus stadtele hinaus mein schat bleibst hier string start wirklich sollst wirklich sollst cause wooden heart"
"111","kiss kiss want want kiss lips want eleventhirty light kiss dear kiss kiss want hold closer door time leave kiss kiss want come little kiss"
"112","fall burst bubble trouble fall fall kiss germs catch pneumonia phone fall yeah fall tell cause chain chain bind remind fall tear ocean devotion fall fall tell cause chain chain bind remind kiss lie pain sorrow tomorrow fall fall fall fall"
"113","scratch surface time underneath know come world disappear come lose kiss deep deep deep tear apart deep deep deep deep inside heart life place want stay stop hold stop deep deep deep tear apart deep deep deep deep inside heart come world disappear come lose kiss deep deep deep tear apart oohooh deep deep deep deep inside heart baby baby baby deep deep deep tear apart oohoohoohooh deep deep deep deep inside heart"
"114","world eternity undying long star shine till time undying leave grieve deceive understand commend demand world eternity undying"
"115","true true true baby true true true baby world round baby mean baby give true true true baby true true true baby little young need somethin hold give love forget true true true baby yeah true baby"
"116","softly night wind sing tell bring breath send end heart try cry lonely little wing lead home safely cucurrucucu cucurrucucu llores piedras jamas saber amores good tomorrow fill sorrow like today need hold enfold stay little remind lonely little wing lead home safely cucurrucucu cucurrucucu llores piedras jamas saber amores cucurrucucu cucurrucucu cucurrucucu llores"
"117","look good things smile people believe ways raise question answer dream capture foolish night perfection forever help feel someday lalala lalala lalala lalala happen cancel feel look need worry consequences giggle instead sigh yeah yeah lalala lalala lalala lalala write zoloth passarelli"
